year,plot,trt,bag,cc_g
2022,104,grbr,1,29.14
2022,104,grbr,2,37.94
2022,202,grbr,1,44.87
2022,202,grbr,2,34.1
2022,301,grbr,1,31.19
2022,301,grbr,2,11.77
2022,404,grbr,1,44.81
2022,404,grbr,2,51
2022,504,grbr,1,43.4
2022,504,grbr,2,52.2
2022,102,gr,1,53.52
2022,102,gr,2,62.95
2022,201,gr,1,51.7
2022,201,gr,2,38.35
2022,303,gr,1,79.19
2022,303,gr,2,81.5
2022,402,gr,1,67.01
2022,402,gr,2,63.9
2022,502,gr,1,79.9
2022,502,gr,2,60.99
2022,103,br,1,10.25
2022,103,br,2,12.31
2022,204,br,1,7.13
2022,204,br,2,13.81
2022,302,br,1,12.47
2022,302,br,2,9.71
2022,403,br,1,11.29
2022,403,br,2,12.5
2022,501,br,1,5.35
2022,501,br,2,9.9
2023,102,gr,1,47.4
2023,102,gr,2,34.6
2023,102,gr,3,35.7
2023,102,gr,4,36.8
2023,201,gr,1,44.8
2023,201,gr,2,50.7
2023,201,gr,3,50.3
2023,201,gr,4,26.8
2023,303,gr,1,55.3
2023,303,gr,2,35.7
2023,303,gr,3,29
2023,303,gr,4,57
2023,402,gr,1,31.4
2023,402,gr,2,65.7
2023,402,gr,3,16
2023,402,gr,4,61.9
2023,502,gr,1,53.1
2023,502,gr,2,30.8
2023,502,gr,3,70.9
2023,502,gr,4,41.2
2023,404,grbr,2,55.8
2023,202,grbr,3,73.9
2023,104,grbr,4,46.5
2023,301,grbr,3,49.1
2023,404,grbr,1,54.4
2023,504,grbr,4,28.1
2023,202,grbr,2,68.8
2023,104,grbr,2,38.3
2023,202,grbr,1,36.6
2023,301,grbr,1,64
2023,404,grbr,4,57.2
2023,104,grbr,3,62.3
2023,104,grbr,1,70.2
2023,202,grbr,4,29.5
2023,404,grbr,3,55.5
2023,504,grbr,3,53.5
2023,301,grbr,2,48.9
2023,301,grbr,4,41.2
2023,504,grbr,1,47.5
2023,504,grbr,2,37
2023,103,br,1,26.1
2023,103,br,2,11.8
2023,103,br,3,29.4
2023,103,br,4,18.6
2023,204,br,1,19.6
2023,204,br,2,15
2023,204,br,3,20.2
2023,204,br,4,25.9
2023,302,br,1,16.8
2023,302,br,2,19.6
2023,302,br,3,23.8
2023,302,br,4,28.4
2023,403,br,1,23.1
2023,403,br,2,31.4
2023,403,br,3,16.6
2023,403,br,4,19.4
2023,501,br,1,24
2023,501,br,2,19.3
2023,501,br,3,15.6
2023,501,br,4,19.5
