year,block,plot,trt,quadrat,cc_biomass_g
2022,1,103,brown,1,28.94
2022,1,103,brown,2,38.5
2022,1,103,brown,3,36.32
2022,1,103,brown,4,25.54
2022,2,204,brown,1,24.01
2022,2,204,brown,2,33.19
2022,2,204,brown,3,19.13
2022,2,204,brown,4,32.71
2022,3,302,brown,1,10.58
2022,3,302,brown,2,26.03
2022,3,302,brown,3,25.08
2022,3,302,brown,4,30.42
2022,4,403,brown,1,37.87
2022,4,403,brown,2,28.6
2022,4,403,brown,3,33.31
2022,4,403,brown,4,37.01
2022,5,501,brown,1,24.5
2022,5,501,brown,2,26.9
2022,5,501,brown,3,34.94
2022,5,501,brown,4,29.53
2022,1,104,gr-br,1,73.57
2022,1,104,gr-br,2,91.16
2022,1,104,gr-br,3,56.67
2022,1,104,gr-br,4,94.95
2022,2,202,gr-br,1,85.86
2022,2,202,gr-br,2,55.93
2022,2,202,gr-br,3,83.85
2022,2,202,gr-br,4,43.93
2022,3,301,gr-br,1,50.5
2022,3,301,gr-br,2,74.27
2022,3,301,gr-br,3,71.91
2022,3,301,gr-br,4,53.7
2022,4,404,gr-br,1,69.81
2022,4,404,gr-br,2,51.75
2022,4,404,gr-br,3,74.61
2022,4,404,gr-br,4,78.68
2022,5,504,gr-br,1,70.85
2022,5,504,gr-br,2,71.07
2022,5,504,gr-br,3,64.91
2022,5,504,gr-br,4,61.02
2022,1,102,green,1,152.14
2022,1,102,green,2,92.78
2022,1,102,green,3,122.44
2022,1,102,green,4,166.05
2022,2,201,green,1,67.82
2022,2,201,green,2,195.48
2022,2,201,green,3,90.09
2022,2,201,green,4,120.78
2022,3,303,green,1,140.26
2022,3,303,green,2,147.09
2022,3,303,green,3,139.71
2022,3,303,green,4,118.63
2022,4,402,green,1,183.68
2022,4,402,green,2,126.26
2022,4,402,green,3,175.34
2022,4,402,green,4,143.28
2022,5,502,green,1,127.46
2022,5,502,green,2,128
2022,5,502,green,3,170.9
2022,5,502,green,4,137.52
2022,1,101,check,1,na
2022,1,101,check,2,na
2022,1,101,check,3,na
2022,1,101,check,4,na
2022,2,203,check,1,na
2022,2,203,check,2,na
2022,2,203,check,3,na
2022,2,203,check,4,na
2022,3,304,check,1,na
2022,3,304,check,2,na
2022,3,304,check,3,na
2022,3,304,check,4,na
2022,4,401,check,1,na
2022,4,401,check,2,na
2022,4,401,check,3,na
2022,4,401,check,4,na
2022,5,503,check,1,na
2022,5,503,check,2,na
2022,5,503,check,3,na
2022,5,503,check,4,na
2021,1,103,brown,1,100
2021,1,103,brown,2,112
2021,1,103,brown,3,68
2021,1,103,brown,4,86
2021,2,204,brown,1,88
2021,2,204,brown,2,92
2021,2,204,brown,3,68
2021,2,204,brown,4,118
2021,3,302,brown,1,116
2021,3,302,brown,2,86
2021,3,302,brown,3,84
2021,3,302,brown,4,90
2021,4,403,brown,1,90
2021,4,403,brown,2,94
2021,4,403,brown,3,120
2021,4,403,brown,4,78
2021,5,501,brown,1,134
2021,5,501,brown,2,176
2021,5,501,brown,3,142
2021,5,501,brown,4,100
2021,1,104,gr-br,1,190
2021,1,104,gr-br,2,124
2021,1,104,gr-br,3,130
2021,1,104,gr-br,4,208
2021,2,202,gr-br,1,172
2021,2,202,gr-br,2,208
2021,2,202,gr-br,3,228
2021,2,202,gr-br,4,196
2021,3,301,gr-br,1,182
2021,3,301,gr-br,2,194
2021,3,301,gr-br,3,178
2021,3,301,gr-br,4,230
2021,4,404,gr-br,1,166
2021,4,404,gr-br,2,148
2021,4,404,gr-br,3,126
2021,4,404,gr-br,4,130
2021,5,504,gr-br,1,130
2021,5,504,gr-br,2,142
2021,5,504,gr-br,3,178
2021,5,504,gr-br,4,146
2021,1,102,green,1,282
2021,1,102,green,2,280
2021,1,102,green,3,334
2021,1,102,green,4,312
2021,2,201,green,1,220
2021,2,201,green,2,352
2021,2,201,green,3,450
2021,2,201,green,4,300
2021,3,303,green,1,314
2021,3,303,green,2,344
2021,3,303,green,3,156
2021,3,303,green,4,302
2021,4,402,green,1,372
2021,4,402,green,2,264
2021,4,402,green,3,314
2021,4,402,green,4,244
2021,5,502,green,1,350
2021,5,502,green,2,296
2021,5,502,green,3,158
2021,5,502,green,4,162
2021,1,101,check,1,na
2021,1,101,check,2,na
2021,1,101,check,3,na
2021,1,101,check,4,na
2021,2,203,check,1,na
2021,2,203,check,2,na
2021,2,203,check,3,na
2021,2,203,check,4,na
2021,3,304,check,1,na
2021,3,304,check,2,na
2021,3,304,check,3,na
2021,3,304,check,4,na
2021,4,401,check,1,na
2021,4,401,check,2,na
2021,4,401,check,3,na
2021,4,401,check,4,na
2021,5,503,check,1,na
2021,5,503,check,2,na
2021,5,503,check,3,na
2021,5,503,check,4,na
2023,1,103,brown,1,9.4
2023,1,103,brown,2,9.2
2023,1,103,brown,3,29.7
2023,1,103,brown,4,17.3
2023,2,204,brown,1,23.4
2023,2,204,brown,2,10.8
2023,2,204,brown,3,12.6
2023,2,204,brown,4,12.7
2023,3,302,brown,1,15.7
2023,3,302,brown,2,16.4
2023,3,302,brown,3,14.2
2023,3,302,brown,4,15.3
2023,4,403,brown,1,19.1
2023,4,403,brown,2,15.4
2023,4,403,brown,3,15.6
2023,4,403,brown,4,5.3
2023,5,501,brown,1,21.5
2023,5,501,brown,2,22.3
2023,5,501,brown,3,17.8
2023,5,501,brown,4,15.6
2023,1,104,gr-br,1,24.4
2023,1,104,gr-br,2,34.6
2023,1,104,gr-br,3,35.1
2023,1,104,gr-br,4,49.2
2023,2,202,gr-br,1,40
2023,2,202,gr-br,2,26.8
2023,2,202,gr-br,3,38.4
2023,2,202,gr-br,4,43.8
2023,3,301,gr-br,1,45.3
2023,3,301,gr-br,2,56
2023,3,301,gr-br,3,47.2
2023,3,301,gr-br,4,67.5
2023,4,404,gr-br,1,66.4
2023,4,404,gr-br,2,48.9
2023,4,404,gr-br,3,60.3
2023,4,404,gr-br,4,39.8
2023,5,504,gr-br,1,32.3
2023,5,504,gr-br,2,34.9
2023,5,504,gr-br,3,36.6
2023,5,504,gr-br,4,45.2
2023,1,102,green,1,54.4
2023,1,102,green,2,48
2023,1,102,green,3,60.7
2023,1,102,green,4,74
2023,2,201,green,1,52.5
2023,2,201,green,2,33.9
2023,2,201,green,3,38.9
2023,2,201,green,4,37.6
2023,3,303,green,1,71.2
2023,3,303,green,2,51.8
2023,3,303,green,3,42.5
2023,3,303,green,4,43.4
2023,4,402,green,1,88.3
2023,4,402,green,2,67.7
2023,4,402,green,3,53.5
2023,4,402,green,4,65
2023,5,502,green,1,74.7
2023,5,502,green,2,79.8
2023,5,502,green,3,32.4
2023,5,502,green,4,35.5
2023,1,101,check,1,na
2023,1,101,check,2,na
2023,1,101,check,3,na
2023,1,101,check,4,na
2023,2,203,check,1,na
2023,2,203,check,2,na
2023,2,203,check,3,na
2023,2,203,check,4,na
2023,3,304,check,1,na
2023,3,304,check,2,na
2023,3,304,check,3,na
2023,3,304,check,4,na
2023,4,401,check,1,na
2023,4,401,check,2,na
2023,4,401,check,3,na
2023,4,401,check,4,na
2023,5,503,check,1,na
2023,5,503,check,2,na
2023,5,503,check,3,na
2023,5,503,check,4,na
