crop,year,plot,trt_num,trt,block,lb_pass_moisture,lb_ac,bu_ac
corn,2021,101-1,1,Check,1,60.31706509,10509.64542,187.6722397
corn,2021,101-2,1,Check,1,60.58346982,10556.06378,188.501139
corn,2021,102-1,3,Green,1,65.42880473,11400.31494,203.5770524
corn,2021,102-2,3,Green,1,63.9534142,11143.24289,198.9864802
corn,2021,103-1,2,Brown,1,67.38410414,11741.00631,209.6608269
corn,2021,103-2,2,Brown,1,71.33921538,12430.14489,221.966873
corn,2021,104-1,4,Gr-Br,1,71.37929941,12437.12913,222.0915916
corn,2021,104-2,4,Gr-Br,1,74.52317396,12984.91783,231.8735327
corn,2021,201-1,3,Green,2,61.6196284,10736.60405,191.7250724
corn,2021,201-2,3,Green,2,65.464,11406.44736,203.68656
corn,2021,202-1,4,Gr-Br,2,69.08385799,12037.17142,214.9494896
corn,2021,202-2,4,Gr-Br,2,64.88151479,11304.95514,201.8741989
corn,2021,203-1,1,Check,2,67.4999645,11761.19381,210.0213181
corn,2021,204-1,2,Brown,2,71.65773846,12485.64435,222.9579348
corn,2021,204-2,2,Brown,2,71.57653964,12471.49627,222.7052905
corn,2021,301-1,4,Gr-Br,3,61.81942959,10771.41741,192.3467395
corn,2021,301-2,4,Gr-Br,3,65.37735266,11391.34993,203.416963
corn,2021,302-1,2,Brown,3,65.96780592,11494.2305,205.2541161
corn,2021,302-2,2,Brown,3,69.00527929,12023.47986,214.7049976
corn,2021,303-2,3,Green,3,66.42453491,11573.81096,206.6751958
corn,2021,304-1,1,Check,3,69.95541183,12189.03096,217.6612671
corn,2021,304-2,1,Check,3,70.52350296,12288.01516,219.4288421
corn,2021,401-1,1,Check,4,63.13636095,11000.87953,196.4442773
corn,2021,401-2,1,Check,4,66.59634793,11603.74766,207.2097797
corn,2021,402-1,3,Green,4,68.41909586,11921.34326,212.8811297
corn,2021,402-2,3,Green,4,69.11755385,12043.04258,215.0543318
corn,2021,403-1,2,Brown,4,74.2215574,12932.36416,230.9350743
corn,2021,403-2,2,Brown,4,79.32461538,13821.52098,246.8128747
corn,2021,404-1,4,Gr-Br,4,78.17351006,13620.95239,243.2312927
corn,2021,404-2,4,Gr-Br,4,73.97209467,12888.89778,230.1588889
corn,2021,501-1,2,Brown,5,77.27776686,13464.8781,240.4442518
corn,2021,501-2,2,Brown,5,72.84930414,12693.26275,226.6654063
corn,2021,502-1,3,Green,5,62.11090296,10822.20373,193.2536381
corn,2021,502-2,3,Green,5,68.60331361,11953.44136,213.4543101
corn,2021,503-1,1,Check,5,70.56657988,12295.52088,219.5628728
corn,2021,503-2,1,Check,5,68.44760947,11926.31147,212.9698477
corn,2021,504-1,4,Gr-Br,5,69.2643432,12068.61916,215.5110564
corn,2021,504-2,4,Gr-Br,5,70.84016568,12343.19047,220.4141155
corn,2022,101-1,1,Check,1,31.29545562,5452.920187,97.37357478
corn,2022,101-2,1,Check,1,30.77688757,5362.564891,95.76008734
corn,2022,102-1,3,Green,1,55.00898225,9584.765067,171.1565191
corn,2022,102-2,3,Green,1,63.15067456,11003.37353,196.4888131
corn,2022,103-1,2,Brown,1,49.36938462,8602.121575,153.6093138
corn,2022,103-2,2,Brown,1,46.70201183,8137.358542,145.309974
corn,2022,104-1,4,Gr-Br,1,40.36452071,7033.114089,125.591323
corn,2022,104-2,4,Gr-Br,1,49.16808284,8567.046754,152.9829778
corn,2022,201-1,3,Green,2,38.89391716,6776.876126,121.0156451
corn,2022,201-2,3,Green,2,40.36018935,7032.359392,125.5778463
corn,2022,202-1,4,Gr-Br,2,51.02352663,8890.33928,158.7560586
corn,2022,202-2,4,Gr-Br,2,59.85384615,10428.93415,186.230967
corn,2022,203-1,1,Check,2,31.97313609,5570.999233,99.48212916
corn,2022,203-2,1,Check,2,43.40662722,7563.170727,135.0566201
corn,2022,204-1,2,Brown,2,31.27782249,5449.84779,97.31871053
corn,2022,204-2,2,Brown,2,61.25005917,10672.21031,190.5751841
corn,2022,301-1,4,Gr-Br,3,35.91699408,6258.177049,111.7531616
corn,2022,301-2,4,Gr-Br,3,42.70887574,7441.594509,132.8856162
corn,2022,302-1,2,Brown,3,46.87306509,8167.162861,145.8421939
corn,2022,302-2,2,Brown,3,47.49485207,8275.503025,147.7768397
corn,2022,303-1,3,Green,3,46.28747929,8065.130391,144.0201856
corn,2022,303-2,3,Green,3,61.34485207,10688.72702,190.8701254
corn,2022,304-1,1,Check,3,31.53415385,5494.510966,98.11626725
corn,2022,304-2,1,Check,3,53.88313609,9388.597633,167.6535292
corn,2022,401-1,1,Check,4,22.2671716,3879.831979,69.28271391
corn,2022,401-2,1,Check,4,25.65727811,4470.524137,79.83078817
corn,2022,402-1,3,Green,4,57.37057988,9996.249839,178.5044614
corn,2022,402-2,3,Green,4,56.80048521,9896.916542,176.7306525
corn,2022,403-1,2,Brown,4,54.9359645,9572.042454,170.9293295
corn,2022,403-2,2,Brown,4,51.4872426,8971.137151,160.1988777
corn,2022,404-1,4,Gr-Br,4,34.38665089,5991.530051,106.991608
corn,2022,404-2,4,Gr-Br,4,63.65311243,11090.91831,198.0521127
corn,2022,501-1,2,Brown,5,32.6391716,5687.049259,101.5544511
corn,2022,501-2,2,Brown,5,35.37330178,6163.444101,110.0615018
corn,2022,502-1,3,Green,5,67.49429586,11760.20611,210.0036805
corn,2022,502-2,3,Green,5,56.20345562,9792.890107,174.8730376
corn,2022,503-1,1,Check,5,38.15840237,6648.720028,118.7271434
corn,2022,503-2,1,Check,5,47.04205917,8196.60839,146.368007
corn,2022,504-1,4,Gr-Br,5,34.89334911,6079.817149,108.5681634
corn,2022,504-2,4,Gr-Br,5,54.74840237,9539.361628,170.3457434
corn,2023,101-1,1,Check,1,32.85443787,5724.557254,102.2242367
corn,2023,101-2,1,Check,1,39.15607101,6822.553812,121.8313181
corn,2023,102-1,3,Green,1,39.95878107,6962.418013,124.3288931
corn,2023,102-2,3,Green,1,39.35869822,6857.859579,122.4617782
corn,2023,103-1,2,Brown,1,39.39798817,6864.705458,122.584026
corn,2023,103-2,2,Brown,1,47.00868639,8190.793517,146.2641699
corn,2023,104-1,4,Gr-Br,1,43.03242604,7497.969912,133.8923199
corn,2023,104-2,4,Gr-Br,1,36.61998817,6380.666738,113.9404775
corn,2023,201-1,3,Green,2,38.41573964,6693.558476,119.5278299
corn,2023,201-2,3,Green,2,38.27822485,6669.597898,119.0999625
corn,2023,202-1,4,Gr-Br,2,47.10146746,8206.959689,146.5528516
corn,2023,202-2,4,Gr-Br,2,38.95144379,6786.899565,121.1946351
corn,2023,203-1,1,Check,2,42.73011834,7445.29582,132.9517111
corn,2023,203-2,1,Check,2,47.20473373,8224.952805,146.8741572
corn,2023,204-1,2,Brown,2,43.88059172,7645.754301,136.5313268
corn,2023,204-2,2,Brown,2,40.33969231,7028.787988,125.5140712
corn,2023,301-1,4,Gr-Br,3,43.24873373,7535.659365,134.5653458
corn,2023,301-2,4,Gr-Br,3,43.02660355,7496.955403,133.8742036
corn,2023,302-1,2,Brown,3,42.06914793,7330.128335,130.8951488
corn,2023,302-2,2,Brown,3,37.70478107,6569.681053,117.3157331
corn,2023,303-1,3,Green,3,35.25216568,6142.337348,109.6845955
corn,2023,303-2,3,Green,3,39.07278107,6808.041373,121.5721674
corn,2023,304-1,1,Check,3,28.69775148,5000.296218,89.29100389
corn,2023,304-2,1,Check,3,23.24377515,4049.995382,72.3213461
corn,2023,401-1,1,Check,4,45.29577515,7892.335862,140.934569
corn,2023,401-2,1,Check,4,44.02577515,7671.051062,136.9830547
corn,2023,402-1,3,Green,4,44.95820118,7833.516974,139.8842317
corn,2023,402-2,3,Green,4,44.26071006,7711.986121,137.7140379
corn,2023,403-1,2,Brown,4,11.29107692,1967.357243,35.13137934
corn,2023,403-2,2,Brown,4,12.60224852,2195.815782,39.21099611
corn,2023,404-1,4,Gr-Br,4,21.53756213,3752.704826,67.01258617
corn,2023,404-2,4,Gr-Br,4,9.465656805,1649.296042,29.45171503
corn,2023,501-1,2,Brown,5,42.5164497,7408.066196,132.2868964
corn,2023,501-2,2,Brown,5,45.21005917,7877.40071,140.6678698
corn,2023,502-1,3,Green,5,40.8307929,7114.357355,127.0420956
corn,2023,502-2,3,Green,5,35.84164497,6245.04822,111.5187182
corn,2023,503-1,1,Check,5,28.89888757,5035.342171,89.91682448
corn,2023,503-2,1,Check,5,30.08485207,5241.984625,93.6068683
corn,2023,504-1,4,Gr-Br,5,11.36949112,1981.020133,35.37535953
corn,2023,504-2,4,Gr-Br,5,13.47586982,2348.035558,41.92920639
